usuario,genero,minutos_reproducidos
u03713,Comedia,47
u05459,Drama,80
u05316,Accion,87
u05382,Terror,68
u09498,Accion,103
u03175,Drama,120
u06388,Comedia,9
u08974,Comedia,61
u06768,Terror,124
u00567,Documental,96
u04623,Comedia,43
u04133,Terror,90
u08831,Accion,11
u06996,Drama,43
u04168,Accion,120
u02671,Suspenso,59
u09365,Comedia,35
u09913,Comedia,48
u08297,Drama,149
u01683,Romance,45
u09055,Terror,75
u08491,Accion,143
u00771,Terror,44
u09655,Comedia,49
u03855,Comedia,24
u03119,Terror,120
u02133,Comedia,54
u09902,Accion,58
u07226,Accion,131
u00991,Romance,73
u00711,Drama,54
u04305,Suspenso,53
u05368,Comedia,56
u00039,Terror,81
u01276,Suspenso,125
u07070,Accion,49
u04858,Accion,80
u01437,Drama,101
u09662,Drama,95
u02100,Accion,147
u08566,Comedia,49
u07694,Drama,47
u04252,Accion,84
u04026,Accion,160
u09306,Suspenso,81
u06213,Romance,75
u03235,Comedia,27
u09458,Accion,113
u07663,Comedia,49
u07551,Comedia,42
u03124,Drama,196
u00654,Accion,105
u04159,Suspenso,113
u08701,Accion,131
u09880,Comedia,7
u05544,Terror,58
u09581,Drama,240
u02198,Comedia,39
u03912,Drama,158
u05236,Drama,83
u04800,Accion,142
u08708,Comedia,5
u05361,Accion,136
u08222,Accion,98
u00326,Accion,161
u03767,Comedia,110
u04112,Terror,113
u08303,Documental,5
u07016,Drama,120
u06857,Comedia,39
u00107,Accion,117
u02427,Terror,77
u04379,Accion,141
u04365,Comedia,73
u02532,Terror,65
u06811,Comedia,58
u05317,Drama,88
u05363,Documental,80
u04694,Comedia,98
u08991,Drama,60
u05269,Documental,28
u02012,Terror,85
u00426,Drama,139
u03045,Comedia,53
u06230,Documental,109
u01240,Comedia,56
u06567,Accion,75
u03392,Romance,132
u04214,Comedia,39
u03998,Drama,184
u03007,Drama,117
u07026,Comedia,37
u03040,Comedia,32
u06559,Accion,90
u08791,Suspenso,136
u01185,Drama,149
u02585,Romance,76
u08103,Accion,115
u07117,Drama,176
u04384,Accion,96
u03937,Comedia,31
u01700,Comedia,15
u04508,Drama,141
u00136,Drama,5
u02026,Accion,150
u03536,Accion,136
u04855,Terror,106
u05368,Drama,68
u02891,Comedia,54
u02758,Accion,94
u03774,Accion,56
u08573,Comedia,50
u06653,Drama,138
u01529,Comedia,10
u04572,Drama,137
u05050,Suspenso,88
u00849,Terror,70
u04128,Suspenso,89
u07352,Drama,142
u05867,Accion,89
u05870,Accion,57
u02122,Comedia,86
u04682,Comedia,5
u00473,Drama,141
u01788,Drama,106
u00114,Comedia,15
u09529,Drama,138
u06474,Romance,82
u08531,Drama,148
u02286,Comedia,96
u01197,Comedia,31
u00079,Accion,60
u04560,Accion,40
u06018,Comedia,48
u02653,Romance,99
u04319,Suspenso,73
u05386,Terror,93
u09449,Terror,72
u07055,Suspenso,100
u00828,Romance,98
u04924,Drama,161
u03386,Comedia,43
u06057,Accion,104
u01966,Accion,138
u02428,Drama,172
u02842,Comedia,20
u08806,Accion,148
u08755,Comedia,35
u06564,Comedia,50
u05841,Suspenso,63
u07811,Comedia,70
u06065,Drama,178
u07145,Accion,131
u04353,Documental,58
u00185,Documental,15
u05810,Drama,132
u04066,Drama,118
u07182,Terror,83
u08438,Documental,71
u07505,Drama,151
u07427,Terror,67
u09058,Accion,107
u02088,Accion,73
u00601,Terror,109
u07805,Romance,102
u05538,Drama,91
u03034,Drama,86
u02057,Drama,96
u08725,Suspenso,88
u05085,Suspenso,76
u02043,Suspenso,95
u07961,Accion,141
u00358,Terror,116
u00378,Terror,95
u04489,Accion,124
u04798,Comedia,59
u03308,Accion,125
u02597,Comedia,53
u00784,Drama,164
u05925,Accion,127
u02380,Accion,119
u07832,Drama,119
u09175,Suspenso,113
u09235,Accion,119
u05268,Romance,112
u07639,Terror,65
u02539,Terror,103
u00862,Accion,75
u01877,Romance,124
u03527,Comedia,61
u09878,Drama,137
u01623,Drama,44
u05519,Drama,123
u02658,Suspenso,160
u01933,Accion,99
u08700,Drama,93
u03479,Drama,174
u02657,Accion,116
u09314,Drama,166
u00290,Drama,112
u07012,Accion,139
u05859,Accion,107
u07324,Accion,168
u02830,Terror,79
u05963,Accion,139
u04813,Suspenso,87
u07265,Suspenso,108
u09593,Accion,108
u08759,Comedia,77
u01474,Accion,133
u01988,Drama,168
u07674,Documental,62
u03261,Accion,98
u07491,Accion,115
u06740,Drama,45
u03252,Suspenso,99
u05906,Suspenso,129
u05301,Comedia,77
u05055,Suspenso,187
u01717,Drama,112
u09205,Terror,70
u01311,Terror,86
u00618,Accion,92
u04258,Comedia,38
u06100,Terror,85
u00469,Terror,82
u05906,Accion,76
u01140,Comedia,17
u09629,Suspenso,142
u08729,Suspenso,147
u00952,Drama,153
u08013,Accion,129
u03007,Comedia,79
u06076,Drama,159
u07891,Suspenso,127
u05953,Drama,94
u07078,Comedia,50
u09043,Drama,103
u01972,Accion,85
u01192,Terror,45
u03921,Suspenso,109
u07766,Accion,127
u06194,Comedia,58
u03047,Suspenso,86
u00305,Drama,135
u06340,Drama,92
u08044,Accion,97
u04909,Terror,57
u02805,Terror,58
u03937,Drama,137
u00713,Accion,102
u06849,Drama,72
u09874,Accion,128
u09526,Suspenso,135
u08367,Suspenso,153
u03206,Drama,88
u05186,Suspenso,87
u09609,Comedia,49
u06507,Comedia,5
u01773,Drama,46
u01075,Drama,178
u05448,Terror,109
u08784,Drama,162
u05265,Suspenso,74
u07323,Romance,91
u06652,Drama,161
u02411,Terror,131
u09040,Drama,136
u06442,Romance,104
u08686,Accion,124
u08738,Terror,83
u09733,Drama,94
u09076,Accion,52
u03957,Terror,99
u06554,Comedia,33
u06870,Drama,74
u07532,Terror,81
u03095,Accion,125
u02366,Comedia,5
u06669,Comedia,19
u05001,Terror,100
u07921,Documental,16
u03348,Comedia,5
u03676,Drama,171
u00953,Comedia,27
u03301,Suspenso,138
u03180,Romance,48
u03248,Accion,77
u04416,Drama,135
u03358,Romance,79
u06473,Comedia,46
u05997,Comedia,5
u04849,Romance,93
u05476,Accion,97
u01038,Accion,113
u08263,Suspenso,106
u07009,Drama,182
u05932,Accion,70
u05643,Drama,86
u00106,Suspenso,100
u00770,Accion,48
u02941,Accion,148
u07900,Drama,74
u06615,Accion,170
u05806,Romance,106
u04356,Drama,144
u00934,Drama,114
u08767,Accion,48
u05661,Comedia,74
u05907,Accion,138
u06051,Suspenso,117
u08262,Comedia,40
u04475,Comedia,72
u09495,Drama,92
u00255,Terror,93
u09900,Suspenso,121
u07088,Accion,121
u04788,Comedia,53
u07863,Accion,50
u09026,Suspenso,90
u06357,Comedia,47
u03743,Accion,86
u02036,Comedia,40
u01968,Accion,108
u08292,Suspenso,153
u01853,Comedia,12
u03184,Comedia,34
u06619,Romance,55
u08304,Accion,126
u00183,Accion,88
u06741,Drama,109
u00165,Documental,130
u06959,Romance,58
u02138,Drama,152
u00455,Suspenso,79
u02286,Drama,141
u07847,Comedia,15
u04823,Comedia,67
u00542,Comedia,25
u06034,Terror,92
u02666,Suspenso,77
u07150,Drama,128
u05799,Suspenso,90
u05786,Drama,119
u04615,Suspenso,74
u04293,Terror,98
u06190,Terror,81
u06674,Accion,123
u01689,Suspenso,80
u05096,Suspenso,128
u07584,Suspenso,115
u07825,Terror,98
u01638,Suspenso,115
u05967,Accion,69
u04671,Accion,113
u05204,Comedia,35
u05135,Comedia,42
u01891,Comedia,47
u03206,Suspenso,51
u08670,Documental,95
u02367,Terror,121
u07560,Comedia,55
u02527,Accion,74
u07808,Suspenso,25
u00367,Suspenso,120
u06522,Accion,97
u09908,Accion,119
u06607,Romance,90
u00013,Suspenso,114
u08728,Romance,109
u03240,Comedia,26
u02318,Drama,188
u04043,Suspenso,87
u07486,Comedia,37
u00376,Comedia,32
u09917,Drama,108
u00257,Accion,193
u00450,Suspenso,106
u09086,Romance,131
u03213,Comedia,51
u09377,Drama,125
u06176,Drama,99
u05944,Comedia,39
u08027,Accion,88
u07447,Drama,123
u01309,Accion,155
u09109,Drama,88
u08340,Drama,111
u04017,Drama,91
u03941,Drama,201
u06714,Suspenso,147
u04072,Accion,129
u08108,Suspenso,100
u05913,Romance,33
u00443,Terror,82
u02945,Accion,78
u03937,Suspenso,100
u00399,Suspenso,99
u09344,Suspenso,148
u02996,Drama,152
u06330,Suspenso,54
u02217,Accion,144
u01708,Drama,80
u05767,Drama,135
u05678,Romance,99
u02569,Suspenso,118
u07639,Terror,91
u00161,Accion,114
u08068,Suspenso,87
u03905,Drama,105
u03574,Suspenso,85
u01826,Romance,39
u09816,Comedia,41
u05583,Terror,114
u01177,Documental,63
u04919,Accion,112
u04881,Suspenso,80
u03221,Accion,136
u07821,Accion,78
u00131,Suspenso,141
u06660,Romance,74
u03563,Accion,116
u01500,Suspenso,126
u07431,Terror,112
u07706,Terror,60
u07627,Comedia,70
u06680,Comedia,49
u02789,Comedia,79
u04877,Comedia,27
u03709,Romance,110
u09900,Suspenso,113
u01770,Comedia,43
u09511,Terror,105
u06732,Drama,131
u03045,Suspenso,110
u00376,Accion,158
u06348,Terror,93
u03037,Accion,41
u08853,Accion,93
u06219,Terror,72
u09596,Romance,94
u00741,Drama,80
u08496,Comedia,53
u01086,Suspenso,97
u01211,Accion,112
u08421,Terror,75
u03120,Accion,127
u00268,Accion,112
u02775,Terror,101
u04350,Comedia,47
u04966,Comedia,31
u08126,Drama,189
u03460,Suspenso,141
u00990,Comedia,38
u00938,Drama,25
u06655,Accion,124
u06990,Comedia,50
u08632,Accion,56
u07343,Suspenso,135
u06024,Accion,154
u02359,Romance,112
u03346,Comedia,85
u06361,Suspenso,76
u04817,Comedia,47
u03744,Accion,136
u07160,Drama,139
u00519,Comedia,64
u00269,Comedia,66
u05445,Comedia,48
u05476,Comedia,85
u04186,Drama,136
u05162,Accion,107
u09581,Accion,71
u09887,Drama,104
u09582,Terror,87
u03866,Accion,138
u08012,Comedia,54
u02336,Comedia,75
u03675,Documental,91
u04577,Drama,147
u00501,Suspenso,116
u09854,Romance,103
u08084,Drama,179
u08295,Drama,126
u05544,Terror,87
u02747,Comedia,43
u03277,Documental,85
u03086,Comedia,47
u05736,Romance,96
u07797,Terror,146
u06614,Accion,105
u01328,Accion,138
u07773,Comedia,54
u09872,Comedia,72
u03747,Accion,136
u05685,Suspenso,55
u02563,Accion,99
u04164,Suspenso,90
u03318,Drama,58
u02437,Drama,155
u05770,Drama,53
u08500,Romance,126
u05919,Comedia,34
u01090,Comedia,82
u04556,Drama,151
u02395,Comedia,69
u06469,Drama,158
u04005,Drama,85
u00667,Terror,86
u05719,Documental,45
u05153,Documental,44
u02235,Accion,117
u06336,Comedia,63
u01237,Comedia,73
u01624,Accion,147
u01375,Terror,110
u07276,Documental,61
u06360,Accion,144
u00177,Comedia,81
u09546,Suspenso,110
u06705,Comedia,21
u02929,Comedia,49
u08818,Terror,69
u07618,Accion,158
u07615,Drama,67
u03716,Accion,80
u04275,Comedia,18
u08587,Accion,53
u09361,Terror,104
u04972,Accion,177
u08390,Terror,89
u00969,Drama,90
u03156,Terror,115
u04765,Suspenso,121
u02505,Drama,99
u07644,Terror,68
u09469,Suspenso,147
u06007,Terror,45
u07963,Comedia,57
u07944,Documental,82
u01270,Accion,64
u01365,Comedia,63
u06717,Suspenso,69
u00924,Comedia,51
u00471,Drama,104
u06598,Accion,83
u02955,Suspenso,123
u01149,Romance,119
u03087,Documental,79
u09152,Accion,132
u00630,Accion,70
u07408,Drama,173
u00775,Comedia,59
u08552,Drama,97
u08710,Suspenso,101
u01344,Accion,38
u07399,Accion,121
u07198,Documental,82
u05017,Comedia,43
u07798,Accion,125
u02900,Drama,169
u00935,Terror,90
u01987,Suspenso,154
u04997,Drama,145
u06543,Terror,79
u05466,Comedia,93
u06312,Drama,147
u08569,Romance,91
u09967,Documental,17
u01506,Drama,130
u05364,Drama,77
u01011,Comedia,56
u03478,Comedia,50
u07742,Romance,97
u09423,Terror,85
u09370,Comedia,58
u03858,Terror,55
u09865,Accion,63
u03840,Romance,90
u04269,Drama,70
u02554,Comedia,31
u04390,Accion,111
u00552,Terror,98
u05567,Documental,50
u09232,Drama,77
u05759,Comedia,5
u09077,Comedia,30
u03052,Drama,106
u05323,Terror,65
u02556,Accion,162
u01090,Romance,85
u00459,Comedia,30
u04722,Drama,149
u06305,Romance,110
u01921,Drama,92
u07695,Terror,70
u05669,Drama,130
u06299,Accion,150
u06630,Documental,7
u05147,Comedia,61
u01004,Accion,142
u03084,Documental,72
u02590,Drama,145
u04311,Drama,121
u02242,Romance,110
u05767,Drama,131
u07712,Comedia,39
u04981,Accion,117
u00939,Suspenso,93
u04302,Comedia,5
u03971,Drama,138
u04000,Drama,171
u04651,Terror,73
u06628,Terror,83
u03409,Comedia,52
u08963,Comedia,14
u00249,Comedia,66
u08565,Comedia,74
u05951,Terror,73
u02927,Drama,84
u07976,Accion,118
u03858,Drama,44
u04931,Romance,85
u07015,Accion,71
u08894,Accion,102
u06967,Terror,98
u09134,Romance,87
u06588,Accion,103
u06497,Comedia,78
u05092,Accion,108
u08986,Comedia,27
u00678,Drama,104
u05910,Comedia,45
u01562,Comedia,52
u04054,Accion,137
u08645,Drama,129
u03657,Drama,97
u05235,Terror,92
u04147,Suspenso,113
u05489,Terror,115
u08082,Romance,119
u00210,Accion,116
u04984,Romance,89
u07142,Accion,155
u04946,Suspenso,88
u07981,Suspenso,80
u03967,Terror,108
u08819,Terror,99
u09651,Terror,135
u02825,Drama,172
u01251,Accion,142
u04759,Drama,92
u04364,Comedia,14
u02164,Comedia,43
u09816,Drama,145
u01854,Suspenso,125
u00754,Drama,156
u05449,Documental,122
u01869,Comedia,47
u00182,Accion,113
u01514,Comedia,54
u09095,Accion,107
u03345,Terror,74
u05239,Accion,107
u07090,Drama,208
u06402,Romance,41
u02557,Comedia,64
u06099,Comedia,39
u05281,Accion,167
u04245,Terror,119
u02165,Comedia,49
u06602,Documental,35
u02022,Accion,100
u02822,Accion,189
u05939,Drama,50
u06133,Accion,134
u09763,Comedia,5
u05970,Comedia,74
u06169,Accion,121
u00714,Documental,46
u07204,Comedia,68
u03546,Accion,51
u08415,Accion,64
u00864,Comedia,43
u04626,Suspenso,129
u05308,Accion,152
u01426,Drama,119
u02305,Documental,70
u00654,Comedia,93
u09352,Drama,83
u08130,Drama,197
u06735,Drama,109
u00444,Romance,77
u07460,Suspenso,107
u04670,Accion,94
u05107,Accion,117
u04437,Accion,105
u02858,Comedia,10
u09473,Comedia,35
u03040,Suspenso,121
u08292,Drama,188
u02738,Documental,111
u06957,Suspenso,83
u05240,Suspenso,78
u01608,Accion,153
u02954,Drama,63
u05934,Accion,94
u04683,Terror,64
u06334,Suspenso,47
u07393,Comedia,57
u09048,Accion,165
u06610,Accion,143
u04926,Suspenso,92
u09579,Drama,108
u07251,Drama,87
u09909,Drama,208
u05784,Drama,96
u09918,Suspenso,132
u06724,Drama,57
u00185,Drama,138
u00522,Documental,97
u01249,Comedia,15
u09851,Accion,101
u01003,Drama,142
u06267,Terror,81
u06445,Accion,115
u07018,Accion,158
u08586,Accion,101
u01618,Terror,136
u00661,Accion,119
u05525,Romance,115
u07617,Drama,191
u05251,Romance,71
u07513,Comedia,74
u06906,Romance,79
u00320,Documental,61
u08776,Accion,140
u03601,Accion,97
u05961,Comedia,33
u05280,Comedia,41
u08774,Drama,158
u01768,Accion,149
u09749,Terror,80
u01799,Accion,141
u09191,Accion,144
u08950,Suspenso,144
u00283,Accion,132
u06338,Terror,60
u05167,Accion,159
u07122,Terror,84
u07410,Suspenso,67
u05490,Drama,125
u04897,Comedia,72
u00131,Accion,109
u01294,Suspenso,158
u06060,Accion,117
u06958,Documental,58
u00061,Terror,84
u02212,Terror,92
u09741,Documental,76
u09974,Terror,97
u06277,Accion,141
u05364,Comedia,37
u08153,Drama,154
u07974,Drama,62
u00038,Accion,92
u05991,Accion,69
u05439,Terror,87
u07678,Drama,142
u00474,Romance,86
u00059,Documental,85
u02637,Suspenso,162
u02615,Drama,128
u07297,Drama,65
u05000,Comedia,8
u09604,Romance,108
u08277,Suspenso,66
u09726,Terror,94
u03798,Terror,64
u02675,Suspenso,97
u06437,Romance,125
u03121,Suspenso,73
u09283,Suspenso,82
u02077,Terror,85
u03191,Comedia,30
u04788,Drama,144
u06057,Drama,102
u07495,Suspenso,53
u09401,Comedia,11
u03578,Comedia,18
u04742,Drama,97
u06833,Documental,65
u02582,Drama,127
u03788,Accion,134
u08708,Terror,76
u07104,Drama,129
u00933,Suspenso,105
u01664,Suspenso,77
u08749,Accion,56
u07915,Accion,110
u09864,Suspenso,76
u09185,Drama,117
u09821,Accion,105
u09884,Documental,85
u04853,Romance,98
u01105,Terror,83
u01271,Accion,90
u09602,Accion,179
u03647,Comedia,28
u05088,Accion,159
u09523,Suspenso,89
u04724,Accion,85
u02055,Accion,119
u09146,Comedia,41
u06659,Comedia,80
u01843,Comedia,19
u02803,Documental,57
u07736,Documental,35
u08202,Drama,158
u08314,Accion,128
u06106,Terror,109
u02561,Documental,83
u03038,Documental,5
u08633,Drama,91
u02750,Accion,120
u00591,Suspenso,128
u01369,Drama,133
u01362,Comedia,60
u08129,Accion,66
u03774,Accion,111
u02065,Drama,152
u02416,Comedia,29
u02952,Comedia,31
u05617,Terror,122
u07976,Documental,76
u07102,Accion,91
u09769,Suspenso,94
u05004,Accion,123
u08307,Romance,92
u06244,Terror,102
u06582,Comedia,63
u09561,Drama,86
u08331,Terror,119
u04924,Drama,90
u06468,Documental,50
u04942,Documental,52
u06438,Accion,98
u06077,Terror,77
u05649,Terror,91
u08002,Suspenso,75
u01316,Romance,96
u00074,Drama,70
u08676,Accion,68
u01550,Terror,113
u01360,Comedia,5
u01897,Comedia,28
u06660,Drama,149
u05247,Comedia,65
u06968,Terror,101
u06662,Suspenso,90
u00511,Documental,85
u08615,Accion,75
u02433,Comedia,69
u01907,Terror,83
u09151,Drama,33
u09017,Accion,153
u00065,Comedia,44
u04929,Suspenso,100
u04711,Drama,130
u06125,Terror,118
u07838,Drama,103
u00801,Romance,93
u06064,Suspenso,160
u08470,Comedia,40
u06110,Drama,98
u09910,Comedia,5
u06660,Comedia,16
u01239,Drama,94
u06583,Comedia,69
u04524,Accion,135
u05621,Accion,96
u01487,Comedia,81
u04682,Comedia,41
u04471,Accion,97
u05620,Terror,113
u08285,Suspenso,81
u07178,Comedia,34
u05442,Suspenso,124
u01841,Accion,138
u05398,Accion,122
u01622,Suspenso,145
u01562,Documental,56
u05850,Comedia,56
u01417,Drama,38
u04191,Drama,114
u05055,Terror,82
u01131,Drama,104
u09606,Accion,100
u03598,Accion,106
u02119,Accion,90
u00664,Accion,117
u02635,Accion,208
u02775,Accion,85
u06195,Accion,104
u03970,Accion,56
u03491,Drama,88
u09764,Accion,120
u01524,Documental,5
u08054,Drama,102
u00988,Romance,160
u07916,Drama,144
u06404,Accion,73
u05322,Suspenso,81
u03846,Accion,67
u06302,Accion,55
u00099,Accion,142
u02289,Drama,110
u09707,Comedia,38
u04298,Accion,95
u08826,Drama,121
u07797,Romance,74
u07264,Terror,104
u08771,Accion,61
u03960,Comedia,45
u07386,Terror,97
u08465,Accion,108
u05339,Drama,109
u04882,Drama,122
u03955,Accion,91
u03928,Drama,134
u08645,Romance,88
u09368,Drama,107
u04912,Romance,99
u00414,Drama,141
u01551,Terror,90
u04527,Romance,105
u07142,Comedia,43
u06572,Accion,107
u01947,Accion,140
u05204,Romance,82
u00192,Drama,239
u00041,Terror,113
u05893,Drama,131
u09525,Drama,50
u03450,Drama,110
u08328,Comedia,30
u05910,Suspenso,92
u01942,Accion,150
u09758,Terror,90
u04222,Terror,93
u07525,Accion,105
u06544,Accion,109
u06223,Suspenso,109
u08581,Accion,115
u01559,Drama,95
u02122,Accion,107
u01029,Accion,115
u08274,Romance,78
u05657,Comedia,53
u08968,Suspenso,98
u03039,Comedia,30
u01879,Comedia,43
u02272,Drama,73
u01608,Drama,100
u03140,Documental,46
u00606,Comedia,5
u04736,Drama,142
u03666,Terror,33
u05853,Drama,104
u05463,Comedia,45
u02145,Suspenso,134
u04271,Terror,128
u08108,Romance,99
u01377,Documental,24
u03463,Accion,102
u00348,Drama,128
u00001,Suspenso,44
u00063,Documental,66
u01784,Accion,120
u08418,Romance,66
u06567,Accion,77
u01043,Drama,91
u09037,Drama,165
u01235,Suspenso,94
u01985,Suspenso,123
u09471,Romance,99
u01595,Suspenso,134
u06258,Comedia,53
u01953,Accion,98
u01696,Accion,124
u00955,Accion,140
u03292,Romance,103
u08549,Drama,96
u00969,Documental,18
u00242,Terror,104
u04235,Romance,58
u08339,Suspenso,115
u07350,Drama,132
u05162,Accion,163
u08735,Accion,160
u08884,Comedia,47
u01026,Accion,171
u03360,Terror,133
u05258,Drama,115
u05737,Accion,153
u07680,Suspenso,84
u02952,Suspenso,115
u08922,Accion,162
u07390,Accion,142
u02556,Accion,175
u01151,Drama,142
u01736,Romance,122
u07932,Terror,118
u01039,Terror,81
u06370,Comedia,50
u07128,Drama,158
u02913,Accion,119
u04841,Terror,84
u01243,Accion,163
u08965,Accion,130
u08099,Drama,158
u03413,Comedia,46
u02500,Drama,70
u07161,Terror,67
u06111,Suspenso,144
u03546,Documental,77
u01214,Drama,166
u00419,Drama,112
u04961,Accion,119
u00789,Terror,99
u01872,Drama,113
u02026,Comedia,64
u06265,Comedia,47
u02447,Comedia,5
u07430,Documental,40
u04824,Accion,130
u08753,Comedia,7
u02652,Comedia,71
u00540,Accion,171
u06500,Comedia,5
u04756,Drama,120
u05960,Drama,139
u03290,Drama,99
u05547,Terror,98
u02759,Accion,101
u05312,Comedia,33
u04108,Comedia,46
u01896,Terror,84
u02501,Accion,151
u02830,Accion,111
u00048,Accion,81
u02365,Drama,63
u05667,Terror,109
u06459,Terror,81
u08946,Terror,89
u08178,Accion,86
u07631,Drama,91
u07932,Accion,125
u07059,Documental,41
u02803,Accion,136
u08595,Suspenso,42
u02087,Accion,97
u06725,Drama,137
u06156,Suspenso,91
u01150,Drama,86
u00063,Drama,67
u03154,Accion,73
u09201,Drama,125
u05939,Drama,58
u09515,Comedia,21
u00752,Accion,122
u07777,Accion,121
u08850,Documental,37
u09853,Documental,65
u00701,Romance,78
u09273,Drama,134
u01541,Documental,7
u03033,Comedia,16
u06168,Comedia,36
u06365,Accion,162
u01984,Comedia,75
u08507,Accion,90
u05797,Accion,111
u07649,Accion,141
u07895,Comedia,80
u02315,Romance,116
u07960,Comedia,44
u01650,Drama,84
u07701,Suspenso,135
u06901,Drama,86
u03801,Drama,162
u02479,Drama,163
u09968,Accion,172
u07055,Drama,131
u06060,Terror,54
u09960,Accion,131
u08434,Accion,88
u06210,Drama,125
u07116,Suspenso,136
u02257,Drama,120
u03369,Comedia,24
u07388,Romance,118
u08559,Accion,46
u02828,Accion,66
u09445,Terror,42
u02488,Accion,61
u03604,Accion,125
u03522,Suspenso,92
u04518,Accion,91
u01644,Drama,63
u01213,Comedia,28
u07346,Accion,110
u04704,Comedia,43
u05435,Comedia,26
u00020,Drama,49
u00676,Accion,147
u04478,Accion,97
u00609,Drama,126
u06287,Accion,153
u00062,Accion,120
u09458,Documental,120
u01155,Accion,126
u09821,Drama,219
u09819,Accion,153
u03717,Suspenso,145
u05243,Drama,80
u05560,Comedia,49
u05023,Comedia,57
u06486,Terror,56
u01443,Suspenso,76
u01654,Accion,81
u02503,Accion,144
u03270,Comedia,50
u00282,Terror,79
u09217,Accion,113
u03404,Comedia,8
u01236,Drama,95
u04761,Comedia,17
u06941,Comedia,14
u00786,Suspenso,92
u09860,Accion,117
u03195,Comedia,62
u04790,Drama,129
u03776,Suspenso,104
u05351,Accion,50
u00534,Drama,74
u08594,Suspenso,126
u03664,Accion,112
u00130,Terror,99
u02960,Accion,150
u01859,Accion,113
u03650,Accion,144
u03098,Drama,28
u03513,Drama,153
u04861,Accion,138
u09413,Accion,122
u08834,Comedia,21
u00724,Accion,132
u00738,Drama,153
u01300,Terror,79
u03481,Romance,64
u00340,Accion,133
u00153,Comedia,71
u05685,Accion,82
u09614,Accion,96
u03052,Drama,59
u00427,Accion,81
u07147,Accion,166
u08126,Accion,147
u06348,Comedia,5
u09328,Accion,134
u02373,Suspenso,122
u08127,Drama,75
u00950,Accion,140
u07696,Accion,124
u01374,Terror,104
u07083,Accion,116
u09149,Comedia,104
u09894,Accion,117
u02483,Comedia,13
u07594,Documental,27
u09496,Comedia,24
u00371,Drama,109
u07838,Comedia,92
u02297,Comedia,68
u07035,Drama,101
u06325,Drama,189
u07143,Drama,126
u07029,Accion,168
u06480,Terror,64
u04146,Terror,103
u04022,Accion,102
u02365,Accion,140
u05231,Drama,127
u05971,Comedia,77
u08955,Drama,108
u07301,Terror,91
u06756,Drama,126
u01005,Comedia,49
u07058,Comedia,67
u03756,Drama,121
u02847,Suspenso,76
u06263,Comedia,47
u08542,Suspenso,137
u02965,Comedia,38
u08879,Accion,44
u04638,Romance,104
u02756,Terror,114
u03625,Suspenso,79
u02733,Drama,113
u06474,Accion,188
u06352,Drama,120
u01694,Drama,150
u00685,Comedia,28
u02920,Drama,42
u07167,Drama,153
u03757,Accion,169
u05455,Suspenso,91
u03284,Drama,134
u04692,Drama,102
u06829,Accion,90
u07351,Suspenso,93
u01157,Drama,140
u03062,Accion,57
u07158,Terror,77
u05920,Drama,99
u05894,Comedia,93
u04446,Romance,127
u06437,Suspenso,68
u01293,Accion,114
u09753,Terror,81
u09176,Accion,141
u07903,Accion,100
u02068,Accion,148
u01980,Accion,150
u01737,Drama,70
u01919,Terror,118
u00701,Accion,113
u04047,Accion,69
u02074,Accion,192
u04662,Drama,37
u00395,Drama,158
u03049,Accion,161
u03453,Comedia,75
u00523,Accion,187
u09755,Drama,132
u08742,Comedia,14
u01469,Comedia,63
u06231,Terror,93
u08117,Comedia,10
u09025,Drama,110
u06812,Drama,101
u01422,Comedia,84
u07988,Romance,99
u00286,Comedia,34
u02746,Romance,115
u07109,Suspenso,103
u04465,Romance,66
u01446,Accion,140
u05838,Accion,89
u01467,Suspenso,112
u09969,Romance,110
u07168,Terror,75
u09107,Drama,123
u08480,Suspenso,126
u04427,Accion,88
u05933,Suspenso,64
u09997,Comedia,74
u01179,Accion,106
u02552,Terror,89
u04371,Terror,55
u09781,Drama,177
u06323,Comedia,54
u09968,Accion,139
u04863,Terror,75
u09180,Accion,96
u05856,Terror,93
u01204,Romance,143
u07350,Documental,5
u06387,Comedia,47
u01120,Accion,91
u08389,Accion,110
u03976,Drama,197
u08718,Suspenso,86
u09603,Accion,161
u01293,Accion,78
u09387,Drama,71
u03656,Accion,93
u04787,Suspenso,98
u02218,Drama,19
u06591,Comedia,5
u01018,Accion,92
u05177,Accion,137
u03591,Suspenso,69
u08240,Terror,119
u09020,Accion,162
u06177,Documental,53
u06648,Comedia,43
u04723,Drama,162
u06016,Terror,63
u05123,Romance,105
u07684,Romance,105
u02090,Drama,153
u02057,Accion,102
u09011,Suspenso,111
u03681,Suspenso,56
u04886,Drama,90
u03115,Documental,5
u07384,Drama,85
u01630,Accion,91
u01544,Accion,109
u07513,Comedia,69
u05770,Comedia,99
u01905,Suspenso,78
u01437,Suspenso,127
u05032,Comedia,30
u03318,Romance,78
u04117,Romance,121
u09191,Comedia,54
u09624,Suspenso,158
u04553,Accion,147
u05564,Drama,39
u06124,Terror,124
u03062,Comedia,5
u08090,Accion,131
u08457,Accion,90
u03732,Romance,83
u06328,Drama,124
u03318,Accion,121
u02047,Romance,42
u03145,Romance,71
u03222,Comedia,55
u05065,Drama,129
u09446,Comedia,5
u00723,Terror,65
u07776,Romance,89
u07565,Accion,82
u08276,Comedia,35
u04836,Suspenso,142
u03820,Terror,108
u03365,Accion,140
